resource_path,hierarchy,button_name,active_self,active_in_serialized_hierarchy,center_x,center_y,rect_x,rect_y,rect_width,rect_height,reference_center_x,reference_center_y
prefabs/ui/exchange/difficultyselectionitem,difficultyselectionitem,difficultyselectionitem,True,True,0,1440,0.0,1440.0,0.0,0.0,0.0,1080.0
prefabs/ui/exchange/exchangeitem2023,ExchangeItem2023/Difficulty/Button,Button,True,True,1261,1069,1094.6666666666667,1042.6666666666665,333.33333333333326,53.333333333333485,946.0,802.0
prefabs/ui/exchange/exchangeitem2024,ExchangeItem2024/Difficulty/Button,Button,True,True,1261,1069,1094.6666666666667,1042.6666666666665,333.33333333333326,53.333333333333485,946.0,802.0
prefabs/ui/exchange/exchangeitem2025,ExchangeItem2025/Difficulty/Button,Button,True,True,1261,1069,1094.6666666666667,1042.6666666666665,333.33333333333326,53.333333333333485,946.0,802.0
prefabs/ui/gmcodeitem,GMCodeItem/shootmissile/Button,Button,True,True,991,596,924.6666666666667,572.6666666666667,133.33333333333326,46.66666666666663,743.5,447.0
prefabs/ui/herosupplyitem2021,HeroSupplyItem2021/LeftArea/bar,bar,True,True,656,620,652.4000166257223,536.400004863739,7.199999809265137,167.9999955495199,492.0000123977661,465.3000019788742
prefabs/ui/herosupplyitem2021,HeroSupplyItem2021/LeftArea/btn_10,btn_10,True,True,900,770,683.0000158150991,728.9999997615814,433.199988524119,82.79999780654907,674.700007557869,577.799998998642
prefabs/ui/herosupplyitem2021,HeroSupplyItem2021/LeftArea/btn_20,btn_20,True,True,900,890,683.0000158150991,848.999996582667,433.199988524119,82.79999780654907,674.700007557869,667.7999966144562
prefabs/ui/herosupplyitem2021,HeroSupplyItem2021/LeftArea/btn_5,btn_5,True,True,902,650,685.4000157515209,609.0000029404958,433.1999885241189,82.79999780654907,676.5000075101852,487.80000138282776
prefabs/ui/herosupplyitem2021,HeroSupplyItem2021/Middle/Popup/NO,NO,True,False,1342,819,1289.791999557495,801.2399941857657,104.73599576059996,35.999999046325684,1006.6199980783463,614.4299952816964
prefabs/ui/herosupplyitem2021,HeroSupplyItem2021/Middle/Popup/OK,OK,True,False,1203,819,1150.5920078226725,801.2399941857657,104.73599576059974,35.999999046325684,902.2200042772292,614.4299952816964
prefabs/ui/herosupplyitem2021,HeroSupplyItem2021/RightArea/bar,bar,True,True,1906,620,1902.7999835014343,536.400004863739,7.199999809265137,167.9999955495199,1429.7999875545502,465.3000019788742
prefabs/ui/herosupplyitem2021,HeroSupplyItem2021/RightArea/btn_100,btn_100,True,True,1658,890,1441.3999957243602,848.999996582667,433.1999885241189,82.79999780654907,1243.4999924898148,667.7999966144562
prefabs/ui/herosupplyitem2021,HeroSupplyItem2021/RightArea/btn_30,btn_30,True,True,1658,650,1441.3999957243602,609.0000029404958,433.1999885241189,82.79999780654907,1243.4999924898148,487.80000138282776
prefabs/ui/herosupplyitem2021,HeroSupplyItem2021/RightArea/btn_50,btn_50,True,True,1658,770,1441.3999957243602,728.9999997615814,433.1999885241189,82.79999780654907,1243.4999924898148,577.799998998642
prefabs/ui/herosupplyitem2024,HeroSupplyItem2024/Confirm,Confirm,True,True,1280,912,1131.2000039418538,888.2399918810527,297.59999211629247,47.99999872843432,960.0,684.1799934339524
prefabs/ui/herosupplyitem2024,HeroSupplyItem2024/Popup/NO,NO,True,False,1359,768,1295.5999995867412,743.9999993642172,127.49999662240339,47.99999872843421,1019.5124984234571,575.9999990463257
prefabs/ui/herosupplyitem2024,HeroSupplyItem2024/Popup/OK,OK,True,False,1206,768,1142.0000036557515,743.9999993642172,127.49999662240361,47.99999872843421,904.312501475215,575.9999990463257
prefabs/ui/herosupplyitem2024,HeroSupplyItem2024/SupplyButton/Add_1,Add_1,True,True,1390,781,1351.9999980926514,742.7999993960062,76.79999796549487,76.79999796549487,1042.799997806549,585.8999987840652
prefabs/ui/herosupplyitem2024,HeroSupplyItem2024/SupplyButton/Add_10,Add_10,True,True,1621,781,1582.3999919891357,742.7999993960062,76.79999796549464,76.79999796549487,1215.5999932289124,585.8999987840652
prefabs/ui/herosupplyitem2024,HeroSupplyItem2024/SupplyButton/Add_2,Add_2,True,True,1467,781,1428.7999960581462,742.7999993960062,76.79999796549464,76.79999796549487,1100.3999962806702,585.8999987840652
prefabs/ui/herosupplyitem2024,HeroSupplyItem2024/SupplyButton/Add_5,Add_5,True,True,1544,781,1505.5999940236409,742.7999993960062,76.79999796549487,76.79999796549487,1157.9999947547913,585.8999987840652
prefabs/ui/herosupplyitem2024,HeroSupplyItem2024/SupplyButton/Minus_1,Minus_1,True,True,1170,781,1131.2000039418538,742.7999993960062,76.79999796549487,76.79999796549487,877.2000021934509,585.8999987840652
prefabs/ui/herosupplyitem2024,HeroSupplyItem2024/SupplyButton/Minus_10,Minus_10,True,True,939,781,900.8000100453695,742.7999993960062,76.79999796549475,76.79999796549487,704.4000067710876,585.8999987840652
prefabs/ui/herosupplyitem2024,HeroSupplyItem2024/SupplyButton/Minus_2,Minus_2,True,True,1093,781,1054.4000059763591,742.7999993960062,76.79999796549464,76.79999796549487,819.6000037193298,585.8999987840652
prefabs/ui/herosupplyitem2024,HeroSupplyItem2024/SupplyButton/Minus_5,Minus_5,True,True,1016,781,977.6000080108643,742.7999993960062,76.79999796549487,76.79999796549487,762.0000052452087,585.8999987840652
prefabs/ui/map/mappanel,MapPanel/GuardCtrl/CtrlPanel/AttackStatus,AttackStatus,True,True,2085,899,1962.6666666666665,857.3333333333333,245.33333333333348,82.66666666666674,1564.0,674.0
prefabs/ui/map/mappanel,MapPanel/GuardCtrl/CtrlPanel/BuyBullets100,BuyBullets100,True,True,2331,651,2208.0,609.3333333333334,245.33333333333303,82.66666666666663,1748.0,488.0
prefabs/ui/map/mappanel,MapPanel/GuardCtrl/CtrlPanel/BuyBullets200,BuyBullets200,True,True,2331,733,2208.0,692.0,245.33333333333303,82.66666666666663,1748.0,550.0
prefabs/ui/map/mappanel,MapPanel/GuardCtrl/CtrlPanel/BuyBullets50,BuyBullets50,True,True,2331,568,2208.0,526.6666666666667,245.33333333333303,82.66666666666663,1748.0,426.0
prefabs/ui/map/mappanel,MapPanel/GuardCtrl/CtrlPanel/BuyRevive,BuyRevive,True,True,2085,651,1962.6666666666665,609.3333333333334,245.33333333333348,82.66666666666663,1564.0,488.0
prefabs/ui/map/mappanel,MapPanel/GuardCtrl/CtrlPanel/DefenceStatus,DefenceStatus,True,True,2085,981,1962.6666666666665,940.0,245.33333333333348,82.66666666666663,1564.0,736.0
prefabs/ui/map/mappanel,MapPanel/GuardCtrl/CtrlPanel/FreeRevive,FreeRevive,True,True,2085,733,1962.6666666666665,692.0,245.33333333333348,82.66666666666663,1564.0,550.0
prefabs/ui/map/mappanel,MapPanel/GuardCtrl/CtrlPanel/MovingStatus,MovingStatus,True,True,2331,899,2208.0,857.3333333333333,245.33333333333303,82.66666666666674,1748.0,674.0
prefabs/ui/map/mappanel,MapPanel/GuardCtrl/CtrlPanel/RemoteBuyBullets,RemoteBuyBullets,True,True,2085,816,1962.6666666666665,774.6666666666666,245.33333333333348,82.66666666666663,1564.0,612.0
prefabs/ui/map/mappanel,MapPanel/GuardCtrl/CtrlPanel/RemoteBuyHP,RemoteBuyHP,True,True,2331,816,2208.0,774.6666666666666,245.33333333333303,82.66666666666663,1748.0,612.0
prefabs/ui/map/mappanel,MapPanel/GuardCtrl/CtrlPanel/SendMapMark,SendMapMark,True,True,2085,568,1962.6666666666665,526.6666666666667,245.33333333333348,82.66666666666663,1564.0,426.0
prefabs/ui/map/mappanel,MapPanel/GuardCtrl/CtrlPanel/SupplyBullet,SupplyBullet,False,False,2331,816,2208.0,774.6666666666666,245.33333333333303,82.66666666666663,1748.0,612.0
prefabs/ui/map/mappanel,MapPanel/GuardCtrl/SecondConfirmation/Cancel,Cancel,True,False,2312,796,2232.0,769.3333333333334,160.0,53.33333333333326,1734.0,597.0
prefabs/ui/map/mappanel,MapPanel/GuardCtrl/SecondConfirmation/Confirm,Confirm,True,False,2115,796,2034.6666666666665,769.3333333333334,160.0,53.33333333333326,1586.0,597.0
prefabs/ui/map/mappanel,MapPanel/Mark/Button,Button,True,True,1280,777,640.0,433.33333333333337,1280.0,687.9999999999999,960.0,583.0
prefabs/ui/masks/revivingmask,RevivingMask/ReviveInteractive/BuyRevive,BuyRevive,True,True,1140,731,1016.6666666666667,700.6666666666666,246.66666666666652,60.0,855.0,548.0
prefabs/ui/masks/revivingmask,RevivingMask/ReviveInteractive/FreeRevive,FreeRevive,True,True,1420,731,1296.6666666666667,700.6666666666666,246.66666666666652,60.0,1065.0,548.0
prefabs/ui/masks/softneedupdate,SoftNeedUpdate/Confirm,Confirm,True,True,0,134,-106.66666666666652,113.86664835611987,213.33333333333326,40.0,0.0,100.39998626708984
